Clcnkb	abnormal ovary morphology; small testis
Cldn11	small testis; male infertility
Clpp	small ovary; small testis; male infertility; female infertility
Clspn	reduced female fertility; delayed female fertility
Cnbd2	abnormal testis morphology; small testis; reduced male fertility; male infertility; abnormal testis weight; decreased testis weight
Cngb3	abnormal testis morphology; small testis
Cnot7	abnormal ovary morphology; small ovary; abnormal testis morphology; small testis; male infertility; decreased testis weight
Cnpy2	abnormal testis morphology; small testis
Cntd1	abnormal testis morphology; small testis; male infertility; female infertility
Cntnap1	reduced fertility; reduced male fertility
Col1a1	delayed sexual maturation; abnormal fertility/fecundity; delayed female fertility
Col4a1	reduced fertility; infertility
Cpeb1	reduced male fertility; female infertility; abnormal fertility/fecundity; absent ovary; abnormal ovary development; decreased testis weight
Cpeb3	small ovary; impaired ovarian folliculogenesis; reduced female fertility; ovary atrophy; decreased ovary weight; decreased primordial ovarian follicle number; decreased primary ovarian follicle number; decreased tertiary ovarian follicle number; premature ovarian failure; increased atretic ovarian follicle number; decreased secondary ovarian follicle number
Cpe	reduced fertility; infertility; male infertility
Cplx1	infertility; male infertility; abnormal sexual interaction
Crabp1	abnormal ovary morphology; enlarged ovary
Crem	small testis; reduced male fertility; male infertility; decreased testis weight
Crtc1	male infertility; female infertility; abnormal sexual interaction
Crx	abnormal testis morphology; small testis
Crybb2	impaired ovarian folliculogenesis; reduced female fertility; decreased mature ovarian follicle number; decreased primordial ovarian follicle number; increased atretic ovarian follicle number; decreased secondary ovarian follicle number
Csf1	abnormal ovary morphology; abnormal ovarian folliculogenesis; reduced fertility; reduced male fertility; reduced female fertility; decreased mature ovarian follicle number; increased testis weight; abnormal testis physiology; decreased tertiary ovarian follicle number
Csf1r	reduced male fertility; abnormal sexual interaction
Csf2	absent mature ovarian follicles; reduced fertility; abnormal fertility/fecundity; decreased ovary weight; increased gonadal fat pad weight
Csf3r	abnormal testis morphology; small testis
Csnk1g2	small testis; decreased testis weight
Csnk2a2	abnormal testis morphology; small testis; male infertility
Ctcfl	abnormal testis morphology; small testis; testis hypoplasia
Cthrc1	abnormal testis morphology; small testis
Cul4a	abnormal testis morphology; small testis; reduced female fertility; male infertility; decreased testis weight
Cux1	reduced fertility; reduced male fertility
Cxcr4	abnormal testis morphology; enlarged testis
Cyct	small testis; testicular atrophy
Cygb	abnormal testis morphology; small testis
Cyp11a1	abnormal testis morphology; small testis; secondary sex reversal
Cyp17a1	reduced male fertility; abnormal sexual interaction
Cyp19a1	abnormal ovary morphology; impaired ovarian folliculogenesis; reduced male fertility; male infertility; female infertility; ovary cyst; abnormal primary sex determination; abnormal sexual interaction; absent ovarian follicles; ovary hemorrhage; decreased testis weight; increased gonadal fat pad weight; abnormal tertiary ovarian follicle morphology; abnormal mature ovarian follicle morphology; ovarian follicular cyst; increased ovary apoptosis
Cyp27b1	small ovary; abnormal ovarian folliculogenesis; absent mature ovarian follicles; female infertility
Cyp7b1	early sexual maturation; premature ovarian failure
Cyren	abnormal testis morphology; small testis
D1Pas1	small testis; male infertility
Dazap1	abnormal ovary morphology; small ovary; abnormal testis morphology; small testis; male infertility; decreased mature ovarian follicle number
Dazl	small ovary; small testis; male infertility; female infertility; absent ovarian follicles
Dbf	infertility; male infertility; female infertility; decreased testis weight
Dcun1d1	male infertility; testicular atrophy
Ddhd1	reduced male fertility; decreased testis weight
Ddr2	reduced fertility; reduced male fertility; infertility; female infertility
Ddx20	abnormal ovarian follicle morphology; increased ovary weight
Ddx25	male infertility; decreased testis weight
Ddx4	male infertility; testicular atrophy
Dele1	abnormal ovary morphology; enlarged ovary
Dfb	small testis; female infertility
Dhcr24	male infertility; female infertility; testis degeneration
Dhh	abnormal testis morphology; small testis; male infertility; decreased testis weight; abnormal testis cord formation
Dido1	reduced male fertility; reduced female fertility
Disp3	abnormal ovary morphology; abnormal testis morphology; small testis; enlarged ovary
Dlx5	abnormal sexual interaction
Dmbx1	reduced female fertility
Dmc1	small ovary; abnormal ovarian follicle morphology; small testis; reduced female fertility; infertility; male infertility; female infertility; absent ovarian follicles; decreased testis weight; decreased ovary weight
Dmd	reduced fertility; reduced female fertility; male infertility
Dmrt1	small testis; male infertility; abnormal testis development
Dmrta1	abnormal sexual interaction; polyovular ovarian follicle
Dmrtb1	abnormal testis morphology; small testis
Dmrtc2	small testis; male infertility; testis hypoplasia; abnormal testis development; decreased testis weight
Dms	abnormal testis morphology; male infertility
Dnah17	reduced male fertility; male infertility
Dnaja1	small testis; reduced male fertility
Dnase1l3	abnormal testis morphology; enlarged testis
Dnd1	abnormal ovary morphology; small ovary; small testis; male infertility; female infertility; increased testicular teratoma incidence; decreased testis weight; decreased ovary weight; increased testis tumor incidence
Dnmt1	female infertility
Dnmt3c	small testis; male infertility; decreased testis weight
Dnmt3l	small gonad; small testis; infertility; male infertility; female infertility
Dppa3	reduced female fertility; female infertility
Dpy19l1	male infertility; female infertility
Dpy19l2	small testis; male infertility; decreased testis weight
Drc7	small testis; male infertility
Drd2	small ovary; small testis; reduced fertility; reduced female fertility; decreased gonadotroph cell number
Drgx	abnormal testis morphology; enlarged testis
Dspd	reduced female fertility; male infertility
Duox2	infertility; female infertility
Dusp7	male infertility; female infertility
Dynlt2a1	male infertility; decreased testis weight
Dzip1	male infertility
E2f1	testicular atrophy; decreased testis weight
E2f4	reduced fertility; reduced male fertility; reduced female fertility
E2f5	dilated rete testis
E330023G01Rik	small ovary; impaired ovarian folliculogenesis; reduced female fertility; decreased tertiary ovarian follicle number; absent tertiary ovarian follicles
Ebf2	abnormal testis morphology; male infertility; female infertility; testis hypoplasia; abnormal fertility/fecundity; abnormal sexual interaction; abnormal ovary size
Edaradd	reduced fertility; reduced female fertility
Edn2	small ovary; abnormal ovarian medulla morphology
Eef2k	abnormal ovarian folliculogenesis; abnormal ovarian follicle number; increased primordial ovarian follicle number; increased primary ovarian follicle number; increased tertiary ovarian follicle number; increased secondary ovarian follicle number
Efcab5	abnormal ovary morphology; abnormal testis morphology; enlarged testis; enlarged ovary
Efemp1	abnormal testis morphology; reduced fertility; infertility
Efna5	reduced female fertility; male infertility; abnormal ovary physiology; ovary hemorrhage; polyovular ovarian follicle
Egr1	abnormal ovary morphology; absent mature ovarian follicles; male infertility; female infertility; abnormal sexual interaction; decreased testis weight
Egr4	small testis; male infertility; decreased testis weight
Ehd1	male infertility; decreased testis weight
Ehd4	small testis; reduced male fertility; decreased testis weight
Eif2s3y	male infertility; testis hypoplasia; decreased testis weight
Eif4g3	small testis; decreased testis weight
Eif4h	reduced female fertility; male infertility
Elavl2	abnormal ovary morphology; small ovary; female infertility; absent primordial ovarian follicles
Elk1	male infertility
Elovl2	reduced male fertility; male infertility; decreased testis weight
Emc10	reduced male fertility; reduced female fertility; male infertility; decreased testis weight
Emsy	abnormal testis morphology; enlarged testis
Emx1	female infertility
Emx2	abnormal primary sex determination; absent ovary; absent efferent ductules of testis; agonadal; gonadal ridge hypoplasia
En1	male infertility; abnormal fertility/fecundity
En2	reduced fertility
Endog	abnormal testis morphology; small testis
Enkur	reduced male fertility; male infertility
Eno4	male infertility; decreased testis weight
Entr1	abnormal ovary morphology; abnormal testis morphology; small testis; enlarged ovary
Epb41l2	small testis; male infertility; decreased testis weight
Eppin	abnormal testis morphology; small testis
Ercc2	abnormal testis morphology; reduced female fertility; female infertility
Ercc6l	reduced female fertility; female infertility
Esr1	abnormal ovary morphology; impaired ovarian folliculogenesis; abnormal ovarian folliculogenesis; abnormal ovarian follicle morphology; absent mature ovarian follicles; abnormal testis morphology; reduced male fertility; infertility; male infertility; female infertility; ovary cyst; testicular atrophy; abnormal efferent ductules of testis morphology; ovary hemorrhage; abnormal testis weight; decreased testis weight; abnormal rete testis morphology; dilated rete testis; dilated efferent ductule of testis; increased gonadal fat pad weight; abnormal tertiary ovarian follicle morphology; ovarian follicular cyst; decreased primordial ovarian follicle number; increased tertiary ovarian follicle number; increased atretic ovarian follicle number
Esr2	impaired ovarian folliculogenesis; absent mature ovarian follicles; reduced female fertility; male infertility; female infertility; abnormal sexual interaction; abnormal tertiary ovarian follicle morphology; increased atretic ovarian follicle number; increased secondary ovarian follicle number
Etv4	male infertility
Etv5	small testis; male infertility; female infertility; abnormal sexual interaction; decreased testis weight
Evx2	male infertility
Ewsr1	abnormal ovary morphology; small ovary; absent mature ovarian follicles; abnormal testis morphology; small testis; male infertility; female infertility
Exo1	abnormal ovary morphology; small ovary; small testis; male infertility; female infertility; decreased testis weight
Extl3	abnormal testis morphology; small testis
Ezhip	small ovary; reduced female fertility; decreased ovary weight; decreased primordial ovarian follicle number
Fa2h	abnormal testis morphology; enlarged testis
Faap100	small ovary; small testis; absent ovarian follicles; ovary atrophy; decreased testis weight; decreased ovary weight; abnormal ovarian follicle number
Faap20	small ovary; abnormal ovarian follicle morphology; small testis
Fads1	abnormal testis morphology; small testis
Fads2	impaired ovarian folliculogenesis; abnormal ovarian follicle morphology; absent mature ovarian follicles; abnormal testis morphology; male infertility; female infertility; decreased mature ovarian follicle number; decreased testis weight; abnormal testis physiology
Fah	abnormal testis morphology; enlarged testis
Fam167a	abnormal testis morphology; enlarged testis
Fam170a	reduced male fertility; male infertility; decreased testis weight
Fam209	reduced male fertility; male infertility
Fam221a	abnormal testis morphology; small testis
Fam227b	male infertility; female infertility
Fam83b	abnormal testis morphology; enlarged testis
Fam83d	abnormal testis morphology; enlarged testis
Fam83h	abnormal testis morphology; small testis
Fanca	small gonad; abnormal ovary morphology; small ovary; absent mature ovarian follicles; small testis; reduced male fertility; reduced female fertility; ovary cyst; decreased mature ovarian follicle number; ovary hemorrhage; decreased testis weight; ovary hypoplasia
Fancb	small testis; male infertility
Fancc	abnormal ovary morphology; small ovary; impaired ovarian folliculogenesis; reduced fertility; reduced female fertility; male infertility; female infertility; abnormal fertility/fecundity; absent ovarian follicles; testicular atrophy; decreased testis weight; ovary hypoplasia
Fancd2	small ovary; abnormal ovarian follicle morphology; abnormal testis morphology; small testis; infertility; decreased mature ovarian follicle number; abnormal ovarian follicle number
Fance	reduced male fertility; testis hypoplasia; decreased testis weight
Fancf	small ovary; increased ovary tumor incidence; abnormal ovarian follicle number; decreased primordial ovarian follicle number
Fancg	abnormal ovary morphology; small ovary; abnormal ovarian folliculogenesis; abnormal testis morphology; small testis; reduced male fertility; reduced female fertility; infertility; decreased testis weight
Fanci	small gonad; small testis; male infertility; female infertility; decreased testis weight
Fancl	small ovary; impaired ovarian folliculogenesis; small testis; male infertility; female infertility; ovary cyst
Fancm	abnormal ovary morphology; small testis; male infertility; decreased mature ovarian follicle number
Far1	small testis; male infertility; decreased testis weight
Fbxl3	abnormal testis morphology; enlarged testis
Fbxo22	male infertility; female infertility
Fbxo38	reduced male fertility; decreased testis weight
Fbxo43	small testis; male infertility; female infertility; decreased testis weight
Fbxo47	small testis; male infertility
Fbxo7	male infertility; decreased testis weight
Fbxw18	abnormal testis morphology; small testis
Fgd3	abnormal testis morphology; small testis
Fgd5	abnormal testis morphology; small testis
Fgf9	abnormal testis morphology; testis hypoplasia; abnormal primary sex determination; primary sex reversal; abnormal testis cord formation; disorganized testis cords
Fgfr3	reduced female fertility; male infertility
Fhl5	small testis; delayed male fertility
Figla	small ovary; abnormal ovarian folliculogenesis; female infertility; absent primordial ovarian follicles; increased ovary apoptosis
fit5	male infertility; female infertility; decreased testis weight
Fkbp4	abnormal testis morphology; small testis; reduced male fertility; male infertility; female infertility; abnormal secondary sex determination
Fkbp6	small testis; male infertility
Fk	reduced fertility; reduced male fertility; reduced female fertility; abnormal fertility/fecundity
Fmo3	abnormal ovary morphology; enlarged ovary
Fmr1	abnormal ovary morphology; small ovary; enlarged testis; ovary cyst; ovary atrophy; increased testis weight; abnormal ovarian follicle number; abnormal tertiary ovarian follicle morphology; increased atretic ovarian follicle number
Fndc3a	male infertility; decreased testis weight
Fndc9	male infertility; female infertility
Fos	impaired ovarian folliculogenesis; abnormal sexual interaction; increased atretic ovarian follicle number
Foxa2	reduced female fertility
Foxa3	reduced male fertility; decreased testis weight
Foxb1	abnormal sexual interaction
Foxc1	small gonad; abnormal ovary morphology; small ovary; impaired ovarian folliculogenesis; abnormal ovarian follicle morphology; small testis; ovary cyst; ovary hemorrhage; disorganized testis cords; polyovular ovarian follicle; ectopic testis; ectopic ovary; abnormal ovarian bursa morphology; abnormal ovarian cortex morphology; abnormal ovarian medulla morphology; abnormal testis tunica albuginea morphology
Foxe3	abnormal testis morphology; small testis
Foxi1	male infertility
Foxj1	infertility
Foxl2	abnormal ovary morphology; small ovary; impaired ovarian folliculogenesis; abnormal ovarian follicle morphology; absent mature ovarian follicles; reduced female fertility; female infertility; absent primordial ovarian follicles; increased atretic ovarian follicle number; absent secondary ovarian follicles
Foxn1	small ovary; reduced male fertility; reduced female fertility; female infertility; abnormal circulating gonadotropin level
Foxo3	impaired ovarian folliculogenesis; abnormal ovarian folliculogenesis; reduced female fertility; female infertility; decreased mature ovarian follicle number; enlarged ovary; increased ovary tumor incidence; increased atretic ovarian follicle number
Foxo4	male infertility
Foxp3	small gonad; small testis; male infertility
Foxr1	small ovary
Foxs1	testicular hemorrhage
Frey1	reduced male fertility; male infertility; abnormal testis physiology
Fsd2	abnormal ovary morphology; enlarged ovary
Fshb	small ovary; impaired ovarian folliculogenesis; absent mature ovarian follicles; small testis; female infertility; decreased testis weight
Fshr	abnormal ovary morphology; small ovary; impaired ovarian folliculogenesis; abnormal ovarian folliculogenesis; absent mature ovarian follicles; small testis; reduced male fertility; reduced female fertility; female infertility; delayed sexual maturation; ovary cyst; absent ovarian follicles; abnormal ovary physiology; increased ovarian carcinoma incidence; abnormal testis development; ovary atrophy; ovary hemorrhage; abnormal testis size; decreased testis weight; decreased ovary weight; increased ovary tumor incidence; increased gonadotroph cell number; abnormal ovarian follicle number; delayed male fertility; delayed female fertility; polyovular ovarian follicle; decreased primary ovarian follicle number; decreased ovary secretion
Fstl3	abnormal testis morphology; enlarged testis
Fst	reduced female fertility; abnormal primordial ovarian follicle morphology; increased primary ovarian follicle number; decreased tertiary ovarian follicle number; increased atretic ovarian follicle number; increased secondary ovarian follicle number
Fus	small testis; reduced female fertility; male infertility
